Index,SMILES,MW,Rings,Oxygen,Nitrogen,Score,Classification
339,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([...,1692.8,13.0,38.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
340,O=C(O[C@@]%13([H])C([H])([H])[C@]%12(C(=O)O[C@]1([...,1813.9,14.0,43.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
341,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([...,2213.4,14.0,49.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
342,O=C(O[H])[C@@]67C([H])([H])C([H])([H])[C@@]5(/C(=C...,751.0,7.0,12.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
343,O=C(O[H])[C@@]56C([H])([H])C([H])([H])[C@@]4(/C(=C...,604.8,6.0,8.0,0.0,120.0,HIGH_CONFIDENCE_SAPONIN
344,O=C(O[H])[C@@]78C([H])([H])C([H])([H])[C@@]6(/C(=C...,913.1,8.0,17.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
345,O=C6[C@]7([H])[C@]([C@@]5(C([H])([H])C([H])([H])[C...,929.1,8.0,18.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
346,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,855.0,9.0,16.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
347,[H]C6([H])[C@]([H])(O[C@]3([H])O[C@@]([H])([C@@]([...,1015.2,10.0,20.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
348,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,871.0,9.0,17.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
349,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([...,738.9,8.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
350,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,885.1,9.0,17.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
