Index,SMILES,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,O/C_Ratio,Score,Classification,Description
378,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@@]...,897.1,9,16,0,7,26,8,0.340,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
379,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@@]...,909.1,9,16,0,7,26,8,0.333,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
380,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@@]...,912.1,9,16,1,7,26,8,0.340,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
381,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8([H])O[C@@...,954.2,9,17,1,7,26,8,0.347,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
382,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8([H])O[C@@...,1008.1,9,17,1,7,26,8,0.347,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
383,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8([H])O[C@@...,1016.2,10,17,1,7,26,8,0.315,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
384,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8([H])O[C@@...,1006.2,9,17,1,7,26,8,0.321,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
385,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8([H])O[C@@...,1122.5,9,17,1,7,26,8,0.279,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
386,[H]C5([H])[C@]([H])(O[C@]3([H])O[C@@]2([H])[C@@]([H])(O[C@]1...,704.9,9,11,0,4,21,6,0.282,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
387,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@@]...,871.1,9,16,0,8,27,8,0.356,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
